VT("/Vin") (vin_p_ac=0.825) X,VT("/Vin") (vin_p_ac=0.825) Y
0,0
0.003,0
0.009000000000000001,0
0.021,0
0.04500000000000001,0
0.07500000000000001,0
0.105,0
0.135,0
0.165,0
0.195,0
0.225,0
0.255,0
0.2775,0
0.3,0
0.3000000021122287,2.323451454899761e-07
0.3000000036328014,3.99608135281948e-07
0.300000006673947,7.341340888533665e-07
0.3000000127562381,1.40318589487709e-06
0.3000000249208203,2.741289100249844e-06
0.3000000434725023,4.781971784317828e-06
0.300000072534359,7.978769846583855e-06
0.3000001236112235,1.359720656991525e-05
0.3000002117070685,2.328769537014441e-05
0.3000003173057745,3.490345061510913e-05
0.3000003665575058,4.032107930950212e-05
0.3000004186829575,4.605480395457606e-05
0.3000004606292994,5.066883393722854e-05
0.3000004932439704,5.425639072050847e-05
0.3000005244656577,5.769071806961401e-05
0.300000559141858,6.150503121498119e-05
0.3000005917308186,6.508974811962887e-05
0.3000006281741246,6.909843027355089e-05
0.30000066093824,7.270240553054474e-05
0.3000006938316554,7.632059953072146e-05
0.3000007301132824,8.03114837839236e-05
0.3000007727371407,8.499999076351239e-05
0.3000008261377382,9.087389995912076e-05
0.3000008974460158,9.871758517272511e-05
0.3000010003434663,0.0001100359467246847
0.3000011680856806,0.0001284869234569275
0.3000015035701092,0.0001653885674218203
0.3000021745389663,0.000239190617370455
0.3000033480444215,0.0003682643365581217
0.3000056950553318,0.0006263966285554035
0.3000103890771523,0.001142600632569635
0.3000197771207935,0.002174766364903557
0.3000385532080758,0.004238129080524755
0.3000761053826403,0.008360982343777733
0.3001512097317695,0.01659122279735857
0.3003014184300278,0.03299001978139911
0.3006018358265445,0.06554231425313817
0.3012026706195778,0.1296770875741932
0.3024043402056444,0.2541567416710983
0.3027822693916098,0.2922865003669152
0.3035381277635406,0.367119997253981
0.3050498445074022,0.5112476254868815
0.3055213469077336,0.5547351040895219
0.3064643517083963,0.6396862201331387
0.3069358541087276,0.6811708423016691
0.3078788589093903,0.762209455371558
0.3083503613097216,0.8017834645292482
0.3092933661103843,0.8790897686032206
0.3097648685107156,0.9168411598163474
0.3107078733113783,0.9905870498703082
0.3111793757117096,1.026599765510204
0.3121223805123723,1.096949219736433
0.3125938829127036,1.131303336130137
0.3135368877133663,1.198412780552153
0.3140083901136976,1.231184686036689
0.3149513949143603,1.295203342331429
0.3154228973146916,1.326465907107632
0.3163659021153543,1.387536124408368
0.3168374045156856,1.417358862571929
0.3177804093163483,1.475616433989676
0.3182519117166797,1.504065658099699
0.3191949165173423,1.559640122666948
0.3196664189176737,1.586779091195707
0.3206094237183363,1.639794021903847
0.3210809261186677,1.665683079895609
0.3220239309193303,1.716256358466524
0.3224954333196617,1.74095307171819
0.3234384381203244,1.789197150720988
0.3239099405206557,1.812756433782934
0.3248529453213184,1.858778586678648
0.3253244477216497,1.881252824960354
0.3262674525223124,1.925155384630601
0.3267389549226437,1.946594550882596
0.3276819597233064,1.988475137172577
0.3281534621236377,2.008926902603704
0.3283892133238034,2.019032876744919
0.3288607157241347,2.039008128356481
0.3298037205247974,2.078029013728098
0.3302752229251287,2.097084286474508
0.3305109741252944,2.106500201901346
0.3309824765256257,2.125111498266852
0.3312182277257914,2.134308028534016
0.3316897301261227,2.152485692900953
0.3319254813262884,2.16146794955056
0.3323969837266197,2.179222085283384
0.3326327349267854,2.1879950607617
0.3331042373271167,2.205335535822559
0.3333399885272824,2.213904106254856
0.3338114909276138,2.230840558688322
0.3347544957282764,2.263925266799113
0.3352804894056055,2.281932568680056
0.3357132159398746,2.296511993871688
0.3361478837238736,2.310946633732892
0.3370172192918716,2.339195996376735
0.3380423712195526,2.371473698927161
0.3393117122405234,2.409941367796038
0.3409292225176689,2.456659888646736
0.3429966431834682,2.512820496636111
0.3456795322927956,2.58016165135772
0.3491744958147644,2.659321425727752
0.3518639696269193,2.714258386414014
0.3554027350619658,2.779432318107603
0.358602634122535,2.832099058507251
0.3617111389361574,2.87815422594374
0.3650407112985501,2.922468489207717
0.3685400140478479,2.96403378224041
0.3722135246859193,3.002753946754357
0.3761197383489526,3.039043654210313
0.3802877728060041,3.072893594597411
0.3847456345679401,3.104252950520321
0.3895345759378607,3.13313386855236
0.3947020546348335,3.159537212932829
0.4003040292884913,3.183462850208407
0.4064103600006606,3.204925029129242
0.4131087438250419,3.223950359874248
0.4205107585036962,3.240578716872831
0.4287614667826981,3.254866315397626
0.4380536711449343,3.266888233278395
0.4486502279512765,3.276741511804622
0.4609206611608471,3.284549278384473
0.4754039785056097,3.290465865501468
0.4877019892528048,3.293672249685958
0.5,3.295800308455579
0.5007658824244922,3.212725396308988
0.5022976472734765,3.052804821791338
0.5038028587519403,2.903413360727854
0.5054562812500161,2.747724137064746
0.507134352235877,2.598247769410341
0.5079733877288075,2.52658713410788
0.5083929054752727,2.491501419166889
0.5086026643485053,2.474141694815279
0.5090221820949705,2.439784268920066
0.5090484019541246,2.437652840488384
0.5091008416724327,2.433395568132158
0.5091270615315868,2.43126972095562
0.5091336164963753,2.430738549407505
0.5091467264259524,2.429676554428964
0.5091532813907409,2.429145730947837
0.5091549201319381,2.429013043199109
0.5091581976143325,2.428747689444752
0.5091598363555296,2.42861502343833
0.509163113837924,2.428349713165022
0.5091633851245513,2.428327753970859
0.5091639276978058,2.428283836178251
0.5091640633411194,2.42827285685421
0.5091641311627761,2.428267367210811
0.5091641715998508,2.428264094145387
0.5091642096508534,2.428261014217897
0.5091642408494532,2.428258488941089
0.5091642694250422,2.428256175978305
0.5091643265762202,2.428251550059345
0.5091644408785763,2.428242298247864
0.5091646694832883,2.428223794730651
0.5091651266927124,2.428186788119223
0.509165924608558,2.428122206020932
0.5091674758978812,2.427996651932016
0.5091682515425429,2.42793387732215
0.5091683484981255,2.427926030610038
0.5091684238439689,2.427919932813217
0.5091684626135522,2.427916795167106
0.5091684980741381,2.427913925323733
0.5091685689953099,2.427908185647161
0.5091687108376536,2.427896706334725
0.5091689945223409,2.427873747872677
0.5091695618917155,2.427827831599872
0.5091706966304647,2.427736001659371
0.509172966107963,2.427552352198338
0.5091775050629598,2.427185094952479
0.5091865829729533,2.426450747136154
0.5092047387929403,2.424982717969772
0.5092410504329142,2.422049323620625
0.5093136737128622,2.416193175822234
0.5094589202727581,2.404523323821168
0.5097494133925499,2.381352438515286
0.5103303996321334,2.335678366191038
0.5114923721113006,2.246941490241469
0.5138163170696349,2.079453506357965
0.5156475406845703,1.95631839050797
0.5177274061883934,1.825283805070718
0.5197829140191289,1.704409228050651
0.5219455053359519,1.5858684569702
0.52417146828068,1.472458444111626
0.5264884561330841,1.363016810938302
0.5288944960327565,1.257969806032782
0.5314008259627646,1.157143913386915
0.5340143958070152,1.060601108218259
0.5367454427851271,0.9683138019677622
0.5396046298771227,0.8802887458438833
0.5426045869960693,0.7965193344342811
0.5457597011066306,0.7170036512217273
0.5486321497846647,0.6515359944886701
0.5521820084504463,0.5788272197103366
0.5554019815031161,0.5199182493337808
0.5585830648794924,0.4676104015282965
0.5619676725866378,0.4177216146306559
0.5655004697430889,0.3713166905135186
0.5691949281338846,0.3282930644720556
0.5731025960052654,0.2881989680804766
0.5772480916124327,0.2510037592436682
0.5816578237471619,0.2166919684637043
0.5863695212104547,0.1851970258242166
0.5914259679580085,0.1564712110177409
0.5968776379980083,0.1304708334392632
0.6027871308203967,0.1071432376805541
0.6092323336023824,0.08642928078927437
0.6163114669092032,0.06826214767872019
0.6241509188283344,0.05256446611024845
0.6329166473401336,0.03924599464771727
0.6428317265353634,0.02820069863670271
0.6542045200762538,0.01930286699724659
0.6674757703137282,0.01240225890828262
0.6833015038502049,0.007318125199097469
0.7027085330403928,0.003832254229873655
0.7274097770055359,0.0016821595308536
0.7574097770055359,0.0006188319081714688
0.7874097770055359,0.0002276555365572364
0.817409777005536,8.374979156799967e-05
0.847409777005536,3.080982652026165e-05
0.877409777005536,1.133430176292194e-05
0.907409777005536,4.169656598662641e-06
0.9374097770055361,1.533930939157102e-06
0.9674097770055361,5.643016565137771e-07
0.9974097770055361,2.075949785407261e-07
1.027409777005536,7.636992505055673e-08
1.057409777005536,2.809492505306821e-08
1.087409777005536,1.033554530849301e-08
1.117409777005536,3.802234527228165e-09
1.147409777005536,1.398763771476297e-09
1.177409777005536,5.145763815050941e-10
1.207409777005536,1.89302351571996e-10
1.237409777005536,6.964029353184742e-11
1.267409777005536,2.561950651625011e-11
1.297409777005536,9.424905300647879e-12
1.327409777005536,3.467448550509289e-12
1.357409777005536,1.27586829989923e-12
1.387409777005536,4.689582056016661e-13
1.417409777005536,1.723066134218243e-13
1.447409777005537,6.394884621840902e-14
1.477409777005537,2.353672812205332e-14
1.507409777005537,8.43769498715119e-15
1.537409777005537,3.108624468950438e-15
1.567409777005537,8.881784197001252e-16
1.597409777005537,4.440892098500626e-16
1.627409777005537,0
1.657409777005537,0
1.687409777005537,0
1.717409777005537,0
1.747409777005537,0
1.777409777005537,0
1.807409777005537,0
1.837409777005537,0
1.867409777005537,0
1.897409777005537,0
1.927409777005537,0
1.957409777005537,0
1.987409777005537,0
2.017409777005537,0
2.047409777005537,0
2.077409777005537,0
2.107409777005536,0
2.137409777005536,0
2.167409777005536,0
2.197409777005536,0
2.227409777005536,0
2.257409777005535,0
2.287409777005535,0
2.317409777005535,0
2.347409777005535,0
2.377409777005535,0
2.407409777005534,0
2.437409777005534,0
2.467409777005534,0
2.497409777005534,0
2.527409777005534,0
2.557409777005534,0
2.587409777005533,0
2.617409777005533,0
2.647409777005533,0
2.677409777005533,0
2.707409777005533,0
2.737409777005532,0
2.767409777005532,0
2.797409777005532,0
2.827409777005532,0
2.857409777005532,0
2.887409777005531,0
2.917409777005531,0
2.947409777005531,0
2.977409777005531,0
3,0
